id,title,date,country
BR429133243,aperfeiçoamento introduzido em caixa-cozinha para caminhões e congêneres,04.11.2022,BR
AU309811860,SEF: Smart Educational Framework: Smart AI-IoT based educator monitoring and content availability alert system,06.10.2020,AU
CA94494120,"THE IMPROVED METHOD OF OPTIMIZED EDUCATIONAL DELIVERY IN SCIENCE, ENGINEERING AND TECHNOLOGY",03.07.2009,CA
US42807085,Ching-Min Huang Education System,14.09.2008,US
PL446833158,STORAGE DEVICE FOR SPLICE PROTECTION DEVICES OF TWO DIFFERENT CROSS-SECTIONS,07.09.2022,PL
IN346042903,ANTISLIP AND QUICK RELEASE GRIPPERS TO HANDLE SOFT AND DELICATE MATERIALS.,17.11.2021,IN
FR437780241, Dispositif de freinage d’une roue d’aéronef,08.02.2023,FR
US215058570,Drove mobile application system and method,18.10.2017,US
DE437788502,Reifendateninformationssystem,11.12.2019,DE
IN394894557,USE OF TECHNOLOGY IN EDUCATION AND TEACHING,22.03.2023,IN
IN350378519,EDUCATIONAL APPROACHES USING 3D PRINTING AND INTERNET OF THINGS (IOT),28.12.2021,IN
WO2019171128,"IN-MEDIA AND WITH CONTROLS ADVERTISEMENT, EPHEMERAL, ACTIONABLE AND MULTI PAGE PHOTO FILTERS ON PHOTO, AUTOMATED INTEGRATION OF EXTERNAL CONTENTS, AUTOMATED FEED SCROLLING, TEMPLATE BASED ADVERTISEMENT POST AND ACTIONS AND REACTION CONTROLS ON RECOGNIZED OBJECTS IN PHOTO OR VIDEO",06.03.2018,WO
US41317962,Method and apparatus of enhancing learning capacity,11.08.2000,US
WO2001012059,METHOD AND APPARATUS OF ENHANCING LEARNING CAPACITY,11.08.2000,WO
KR446836186,봉투 취출 기능이 구비된 무인 셀프 계산대,21.04.2023,KR
US321832564,"System, Method, and Computer Program Product for Educational Management System",14.10.2019,US
CN446858443,一种防共振的车载北斗卫星定位终端,21.09.2024,CN
US40705309,Electronic training systems and methods,25.09.2003,US
AU181264133,Electronic training systems and methods,25.09.2003,AU
WO2004029753,ELECTRONIC TRAINING SYSTEMS AND METHODS,25.09.2003,WO
CA94137916,ELECTRONIC TRAINING SYSTEMS AND METHODS,25.09.2003,CA
IN414830801,RANDOM INTERVAL QUERY AND FACE RECOGNITION ATTENDANCE SYSTEM FOR CLASSROOM USING MACHINE LEARNING  BY DESIGN THINKING APPROACH,30.08.2023,IN
US421437137,SOLID-STATE CIRCUIT BREAKER THAT TURNS OFF ELECTRONICS BEFORE PRIMARY MAIN CONTACTS ARE OPENED,25.08.2022,US
IN391899050,ICT IN BUILDING OF TEACHERS,01.02.2023,IN
US421437144,Conical heat shield for electron emitting cathode,03.03.2023,US
US391537079,SYSTEM AND METHOD FOR TEACHING CURRICULUM AS AN EDUCATIONAL GAME,07.10.2022,US
US283327053,System and method for teaching curriculum as an educational game,14.08.2018,US
US295681646,Interactive user interfaces for electronic textbook implementations,06.11.2018,US
US321201938,INTERACTIVE USER INTERFACES FOR ELECTRONIC TEXTBOOK IMPLEMENTATIONS,17.06.2020,US
US399577850,INTERACTIVE USER INTERFACES FOR ELECTRONIC TEXTBOOK IMPLEMENTATIONS,16.09.2022,US
WO2001001277,SYSTEM AND METHOD FOR CONDUCTING AND COORDINATING SEARCH QUERIES OVER INFORMATION EXCHANGE NETWORKS AND PRIVATE DATABASES,29.06.2000,WO
US41041865,"Systems, methods and computer program products for standardizing expert-driven assessments",19.11.2004,US
IN275759404,MOBILE AD-HOC NETWORK FOR EDUCATIONAL WI-FI WITH APP SHELL,22.07.2019,IN
BR429133171,MÉTODO E APARELHO,05.02.2018,BR
CN311333569,College English remote education multimedia teaching and training device,27.04.2020,CN
WO2002037448,DISTANCE LEARNING SYSTEM,01.11.2001,WO
IN300871669,EXPERIMENTAL RESEARCH TOOLS FOR CONCEPTUALIZATION OF ECOLOGICAL INTELLIGENCE AND ECOLOGICAL SENSITIVITY,16.07.2020,IN
IN275758991,A SMART GLOVE WITH HEPATIC FEEDBACK FOR VISUALLY IMPAIRED,08.05.2019,IN
IN394087214,DEVELOPING COMMUNICATIVE COMPETENCE IN INDUSTRY 4.0 ERA,11.03.2023,IN
IN371142250,METHOD TO STUDY IMPACT OF ONLINE CLASSROOM PLATFORM LEARNING AND COLLABORATION AT TEACHER EDUCATION LEVEL,25.07.2022,IN
WO2024173630,"SYSTEM AND METHODS FOR YOUTH CAREER DEVELOPMENT, WORK-READINESS, INCOME GENERATION AND FINANCIAL MANAGEMENT WITH ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",15.02.2024,WO
WO2018044230,ROBOTIC TRAINING APPARATUS AND SYSTEM,02.09.2016,WO
CN437814226,用于测量矿山设备的圆锥滚子轴承,15.01.2024,CN
US42763408,Systems and methods for generating personalized computer animation using game play data,31.12.2007,US
WO2008100427,SYSTEMS AND METHODS FOR GENERATING PERSONALIZED COMPUTER ANIMATION USING GAME PLAY DATA,08.02.2008,WO
US73230349,Progressive synthetic phonics,30.10.2009,US
US437764512,Avocado Cutting And Pitting Process And Multi-Lane Machine,16.06.2022,US
IN346043399,INDIAN CHILD SPECIFIC GAME BASED PSYCHOTHERAPEUTIC (THERAPY FOR POST-TRAUMATIC STRESS DISORDER),13.11.2021,IN
IN389952063,A NOVEL PROCESS OF IOT TECHNOLOGY TO CREATE SMART EDUCATIONAL SYSTEMS,26.12.2022,IN
PL429136493,"APPARATUS AND METHOD FOR DETERMINING DEGRADATION STATE OF BATTERY, BATTERY PACK AND ELECTRIC VEHICLE",13.04.2020,PL
CN349246330,Portable recording device for college education and teaching,23.08.2021,CN
US160003610,Determining an attribute of an online user using user device data,08.10.2013,US
US38067386,"Gesture-modified diagram for retrieval of image resembling diagram, with parts selectable for further interactive retrieval",26.01.1989,US
US352839531,Secure Testing Device with Combiner,06.09.2021,US
US40729719,"Computer systems and methods supporting on-line interaction with content, purchasing, and searching",02.03.2004,US
US41052305,"Computer systems and methods supporting on-line interaction with content, purchasing, and searching",28.01.2005,US
US73287225,"On-Line Interaction with Content, Purchasing, and Searching",24.11.2010,US
CN324160436,Online education service platform with instant calling function,17.03.2021,CN
US293245627,Secure Testing Device With Combiner,17.12.2019,US
US306627149,SECURE TESTING DEVICE WITH LIQUID CRYSTAL SHUTTER,08.06.2020,US
US430566275,Method for securing a testing device,08.02.2024,US
US432029395,Secure Testing Device with Reflective Optical Element,07.02.2024,US
US276153649,Methods and arrangements to adjust communications,27.02.2019,US
US276463433,Methods and arrangements to adjust communications,27.02.2019,US
US279746116,Secure Testing Device,09.09.2019,US
US421436959,Clocking architecture supporting multiple data rates and reference edge selection,18.08.2021,US
US304656725,Methods and arrangements to adjust communications,27.02.2019,US
US380905152,Methods and arrangements to adjust communications,17.06.2022,US
US415367028,Methods and arrangements to adjust communications,04.08.2023,US
US154607644,Secure Testing System and Method,31.07.2014,US
US201065090,"Secure testing device, system and method",19.08.2015,US
US225266714,"Secure Testing Device, System and Method",27.04.2018,US
IN414852816,Empowering Secondary Education with Digital Portfolios to Strengthen ELT Skills and Speaking Abilities,15.07.2023,IN
CN251549940,AR and 3D technology-based image acquisition auxiliary device for college education platform,24.10.2018,CN
WO2019008597,GENERIC EXPERTISE NETWORK FOR INDIVIDUAL USERS AND SYNDICATES (GENIUS),28.06.2018,WO
IN211819915,GENERIC EXPERTISE NETWORK FOR  INDIVIDUAL USERS AND SYNDICATES (GENIUS),01.07.2017,IN
WO2020032965,SYSTEM AND METHOD FOR TEACHING CURRICULUM AS AN EDUCATIONAL GAME,10.08.2018,WO
CA108098451,AUTOMATIC ITEM GENERATION (AIG) MANUFACTURING PROCESS AND SYSTEM,,CA
WO2016028864,"SECURE TESTING DEVICE, SYSTEM AND METHOD",19.08.2015,WO
CN399739877,College education big data statistical analysis method based on knowledge graph,17.03.2023,CN
CN437814177,一种高效率五金精密配件加工用折弯装置,11.01.2024,CN
US123290861,System and Method for Offering and Pairing Remote Laboratory Course Sections with Online Course Sections,07.04.2014,US
US234732615,Secure testing device,21.08.2018,US
WO2019183080,SECURE TESTING DEVICE,19.03.2019,WO
IN325273136,EDUCATION SYSTEM ONLINE AUTOMATION USING CLOUD COMPUTING.,03.05.2021,IN
US173932265,Comparing subsets of user identities of a social networking platform,08.06.2013,US
KR446836167,영농형 태양광 모듈 및 재배 무인 관리 시스템,21.04.2023,KR
IN211507689,EDUDESIRE EDUCATIONAL SMS SERVICE,12.05.2010,IN
AU320796031,Blended Teaching and learning management platform for primary school children during epidemic period,25.02.2021,AU
IN414855824,Revolutionary Approaches to Teach the Mathematical Concept of Surface Area,16.08.2023,IN
US160499513,SYSTEM AND METHOD FOR PRESENTING ITEMS FOR SALE AND DIRECTING SALE PROCEEDS INTO A COLLEGE EDUCATION SAVING ACCOUNT,02.12.2015,US
CN369008737,Campus landscape swing based on big data epidemic prevention,18.03.2022,CN
IN346042906,STREETLIGHTS MONITORING USING MACHINE LEARNING AND IOT-BASED,26.11.2021,IN
US437764554,ARTICLE CONVEYANCE PROCESSING SYSTEM,09.02.2022,US
IN334769785,ELECTRONICALLY ENABLED AND E-AWARD DEVICE FOR PHYSICAL ACTIVITY GOAL CHALLENGES FOR IT PROFESSIONALS TO STRENGTHEN MUSCLES AND BONES,23.06.2021,IN
US437764605,"POLYETHYLENE RESIN MULTILAYER FOAM SHEET, INTERLEAVING PAPER FOR GLASS PLATES, AND METHOD FOR MANUFACTURING POLYETHYLENE RESIN MULTILAYER FOAM SHEET",06.08.2021,US
CN282412732,Network education training device,20.03.2019,CN
US397846732,Screen interface for a mobile device apparatus,19.02.2021,US
IN342291400,"IOT-KIT TO TRACK AND NOTIFY DOCTOR, NURSE AND MEDICAL EQUIPMENT.",19.10.2021,IN
US82300147,Systems and methods for improved financial calculators,27.09.2007,US
US43265904,Fine-motor execution using repetitive force-feedback,27.05.2008,US
US317632984,USER MEDIA PLATFORM SERVER SYSTEM,10.08.2020,US
WO2021030288,USER MEDIA PLATFORM SERVER SYSTEM,10.08.2020,WO
US38570098,Game apparatus and method of play for teaching dna related technologies,28.08.1995,US
IN346041881,AGRICULTURE WATER LEVEL CONTROLLING USING IOT-BASED TECHNOLOGY,25.11.2021,IN
WO2006076266,"MONEY MANAGEMENT EDUCATION SYSTEM, APPARATUS AND METHOD",10.01.2006,WO
US295247339,"Data storage method and apparatus, and storage medium",21.01.2020,US
US41572851,"Money management education system, apparatus and method",06.10.2005,US
EP293254177,DATENSPEICHERVERFAHREN UND -VORRICHTUNG SOWIE SPEICHERMEDIUM,03.08.2017,EP
CN446855045,一种设置有过载保护结构的高安全性阀门,12.10.2024,CN
US437764602,MOLDING METHOD AND DIE,16.07.2021,US
US394062032,UNIFIED PLATFORM OF AN ARTIFICIAL INTELLIGENCE (AI) BASED TEST GENERATOR AND TEST TRAINING SYSTEM,02.01.2022,US
US377257960,"DISTRIBUTED LEDGER AND BLOCKCHAIN TECHNOLOGY-BASED RECRUITMENT, JOB SEARCHING AND/OR PROJECT SEARCHING, SCHEDULING, AND/OR ASSET TRACKING AND/OR MONITORING, AND/OR PRINCIPAL/AGENT RELATIONSHIP MANAGEMENT AND/OR MONITORING, APPARATUS AND METHOD",11.07.2022,US
US439560517,"ONLINE AND OFFLINE HYBRID EDUCATION METHOD AND SYSTEM, ELECTRONIC DEVICE AND STORAGE MEDIUM",07.04.2022,US
EP425892405,"HYBRIDES ONLINE- UND OFFLINE-LERNVERFAHREN UND -SYSTEM, ELEKTRONISCHE VORRICHTUNG UND SPEICHERMEDIUM",07.04.2022,EP
US437770792,DIGITAL COMMUNICATION MODULE FOR A SELF-CONTAINED MEDICAL DEVICE COMMUNICATION PLATFORM,06.05.2024,US
CN306884004,Course assignment teaching material selecting and auditing method,21.05.2020,CN
IN211787490,"A PROCESS FOR ISOLATING AND IDENTIFYING THE ACTIVE CONSTITUENT OF ROOT EXTRACT OF CASEARIA ESCULENTA (ROXB.), BEING A CONSTITUENT FOR THE TREATMENT OF DIABETES MELLITUS",01.09.2015,IN
CN446868997,超薄柔性锂电池及其制备方法,30.09.2024,CN
US437764470,TAPPING SCREW FASTENING JIG AND FASTENING METHOD USING TAPPING SCREW FASTENING JIG,11.01.2024,US
CN355495220,Data arrangement equipment for college education management,09.09.2021,CN
CN254061735,College physical education indoor fitness equipment,09.01.2019,CN
BR429132211,composto antitumoral e sua aplicação,16.06.2022,BR
WO2008005324,EDUCATIONAL INSTITUTION SELECTION SYSTEM AND METHOD,29.06.2007,WO
IN375640300,Technology based pedagogical reforms and practice in higher vocational education introductory innovation and entrepreneurship course,19.09.2022,IN
IN398495821,LEARNING SYSTEM AND METHOD FOR ENHANCED LEARNING,15.02.2023,IN
IN373405300,METHOD TO STUDY IMPACT OF ONLINE CLASSROOM PLATFORM LEARNING AND COLLABORATION AT TEACHER EDUCATION LEVEL,21.08.2022,IN
IN346041382,NATURAL FIBER REINFORCED COMPOSITES FOR FILTRATION OF WATER.,25.11.2021,IN
US296012835,APPARATUS AND METHOD FOR REMOTELY PROVIDING INSTRUCTIONAL AND/OR EDUCATIONAL INFORMATION AND/OR SERVICES IN A NETWORK ENVIRONMENT,12.02.2020,US
CN355522403,Ink grinding device for college Chinese education,29.07.2021,CN
IN329752947,SMART PEN-BASED IOT NETWORK TO SECURE ONLINE EXAMINATION,17.06.2021,IN
US428309161,CAREER ASPIRATION-BASED EDUCATIONAL METHOD AND SYSTEM,07.04.2022,US
EP425892427,PFLEGEERASPIRATIONSBASIERTES AUSBILDUNGSVERFAHREN UND -SYSTEM,07.04.2022,EP
US340282791,"Data processing system and method for dynamic assessment, classification, and delivery of adaptive personalized recommendations",29.04.2021,US
US73477476,Highly reliable cross-session web application instrumentation,30.07.2010,US
US154871867,APPARATUS AND METHOD FOR REMOTELY PROVIDING  INSTRUCTIONAL AND/OR EDUCATIONAL INFORMATION AND/OR SERVICES IN A NETWORK ENVIRONMENT,18.05.2015,US
US222846574,APPARATUS AND METHOD FOR REMOTELY PROVIDING INSTRUCTIONAL AND/OR EDUCATIONAL INFORMATION AND/OR SERVICES IN A NETWORK ENVIRONMENT,27.02.2018,US
CN368048354,Movable college campus German education propaganda post,18.04.2022,CN
US130905838,SYSTEM AND METHOD FOR INTERFACING WITH STUDENTS PORTFOLIOS,03.09.2014,US
AU311607737,CTAO- Education Monitoring: IoT based Education Monitoring for Checking the Class Teacher Available in a Class and Notes Available On-line Notified,04.11.2020,AU
US43153055,Methods and systems for applying rebates to higher education,01.11.2000,US
US437764546,"METHOD FOR SELECTIVE, AUTONOMOUS PROCESSING OF REGIONS OF A WORKPIECE VIA THREE-DIMENSIONAL SANDING",01.04.2024,US
US364378139,"Data processing system and method for dynamic assessment, classification, and delivery of adaptive personalized recommendations",17.02.2022,US
US43666488,Methods and systems for providing a rebate program,31.12.2008,US
IN338707519,"Individualized, Customized Skilling & Earning Model, Expert-&-Peer Connect Platform using Artificial Intelligence & Blockchain Technology",08.09.2021,IN
CA419436612,SYSTEMS AND METHODS FOR COMMUNICATIONS NODE UPGRADE AND SELECTION,,CA
CA337213153,SYSTEMS AND METHODS FOR COMMUNICATIONS NODE UPGRADE AND SELECTION,,CA
CA417424336,SYSTEMS AND METHODS FOR COMMUNICATIONS NODE UPGRADE AND SELECTION,,CA
WO2020172316,SYSTEMS AND METHODS FOR COMMUNICATIONS NODE UPGRADE AND SELECTION,19.02.2020,WO
EP376440220,SYSTEME UND VERFAHREN ZUR ERWEITERUNG UND AUSWAHL VON KOMMUNIKATIONSKNOTEN,19.02.2020,EP
US357954474,Systems and methods for communications node upgrade and selection,27.12.2021,US
US302857784,Systems and methods for communications node upgrade and selection,19.02.2020,US
US391541216,Systems and methods for communications node upgrade and selection,12.09.2022,US
CA337213179,SYSTEMS AND METHODS FOR COMMUNICATIONS NODE UPGRADE AND SELECTION,19.02.2020,CA
US302857263,Systems and methods for communications node upgrade and selection,19.02.2020,US
US429380068,SYSTEMS AND METHODS FOR COMMUNICATIONS NODE UPGRADE AND SELECTION,02.02.2024,US
WO2020172325,SYSTEMS AND METHODS FOR COMMUNICATIONS NODE UPGRADE AND SELECTION,19.02.2020,WO
US302857659,Systems and methods for communications node upgrade and selection,19.02.2020,US
US357954473,Systems and methods for communications node upgrade and selection,27.12.2021,US
US412501783,Systems and methods for communications node upgrade and selection,12.07.2023,US
US445576898,SYSTEMS AND METHODS FOR COMMUNICATIONS NODE UPGRADE AND SELECTION,09.09.2024,US
US412501782,Systems and methods for communications node upgrade and selection,06.07.2023,US
AU311202084,IMRM- Class Monitoring System: IoT and AI-Based Real Time Class Monitoring and Faculty and their Course Materials Availability,23.10.2020,AU
EP318029871,SYSTEME UND VERFAHREN ZUR AUTOMATISIERTEN MODULBASIERTEN INHALTSBEREITSTELLUNG,12.04.2019,EP
IN346042392,MANUFACTURING OF LIGHTWEIGHT SANDWICH BRICKS USING A UNIQUE COMBINATION OF BAMBOO FIBER AND E-WASTE POWDER,23.11.2021,IN
US406093915,SYSTEMS AND METHODS FOR SHARED UTILITY ACCESSIBILITY,16.10.2020,US
US279742176,METHODS AND SYSTEMS FOR ACTIVITY-BASED FUNDRAISING,03.09.2019,US
CA159958328,METHODS AND SYSTEMS FOR ACTIVITY-BASED FUNDRAISING,16.06.2014,CA
WO2014201467,METHODS AND SYSTEMS FOR ACTIVITY-BASED FUNDRAISING,16.06.2014,WO
US128465373,METHODS AND SYSTEMS FOR ACTIVITY-BASED FUNDRAISING,16.06.2014,US
KR446839600,플루오로에테르의 제조 방법,10.04.2023,KR
US448392366,ARTIFICIAL INTELLIGENCE BASED (AI-BASED) COMPUTING SYSTEM AND METHOD FOR ACCREDITATION OF INDUSTRIAL PROFESSIONALS,25.10.2024,US
IN414847322,IOT-DRIVEN DISTRIBUTED MODELING FOR BLOCK CHAIN-BASED MEDICAL IMAGE SEGMENTATION,27.09.2023,IN
US76694890,Web based system and method for conducting business,02.08.2011,US
US43792591,Method and system balancing resources and claims into retirement,29.03.2010,US
US95982051,"Method and system balancing net savings, resources and claims into retirement",19.08.2013,US
US41865062,Simulation of portfolios and risk budget analysis,26.01.2007,US
US302857773,Systems and methods for communications node upgrade and selection,19.02.2020,US
AU194407549,Computer implemented frameworks and methodologies configured to support the delivery of insurance products to users of client terminals,24.02.2015,AU
IN381055010,An investigation of the Internet of Things (IoT) as a platform for putting smart technologies into higher education organisations,01.12.2022,IN
IN335044114,CREATING A SELF-ASSESSMENT TOOL FOR AN ENGLISH-LANGUAGE-TEACHER AND ITS IMPLEMENTATION,17.08.2021,IN
IN346043398,LIGHT WEIGHT TRANSFORM DOMAIN IMAGE STEGANOGRAPHY USING 32-BIT ARM CORTEX-M4,13.11.2021,IN
IN342791419,EXPERIMENTAL INVESTIGATION FOR HIGH STRENGTH AND DURABLE CONCRETE WITH ADDITION OF ADMIXTURES.,29.10.2021,IN
KR446841910,판매된 의약품의 실사용량에 기반하여 약품구매인터페이스를 제공하는 방법 및 시스템,06.07.2023,KR
CN446858425,一种车辆安全控制方法、装置、车辆及存储介质,20.09.2024,CN
CA391582954,SYSTEMS AND METHODS FOR OPTIMIZING DATA SHARING IN RELATION TO A PLURALITY OF ADMISSION APPLICATIONS,31.03.2022,CA
CN323794497,Technician education system based on Internet,18.01.2021,CN
CN375265359,Method for establishing PLC cloud experiment platform based on S7 protocol,16.11.2021,CN
WO2013032432,"PUBLISHING, LICENSING, DISTRIBUTING AND/OR CONSUMING EDUCATION E-CONTENT",29.08.2011,WO
US175588087,Targeted content delivery,08.06.2013,US
US41694042,Methods and apparatus for using personal background data to improve the organization of documents retrieved in response to a search query,09.12.2005,US
WO2006083861,USING PERSONAL BACKGROUND DATA TO IMPROVE THE ORGANIZATION OF DOCUMENTS RETRIEVED IN RESPONSE TO A SEARCH QUERY,01.02.2006,WO
CN251547000,College education propaganda display device,27.04.2018,CN
WO2001027838,INTEGRATED COMMERCE ENVIRONMENT (ICE) - A METHOD OF INTEGRATING OFFLINE AND ONLINE BUSINESS,12.10.2000,WO
IN211415659,METHODS AND APPARATUS FOR USING PERSONAL BACKGROUND DATA TO IMPROVE THE ORGANIZATION OF DOCUMENTS RETRIEVED IN RESPONSE TO A SEARCH QUERY,30.08.2007,IN
US310908806,INTEGRATED EDUCATION MANAGEMENT METHODS AND SYSTEMS,10.05.2019,US
US175588169,Targeted content delivery,08.06.2013,US
US39316767,Education system and method for providing educational exercises and establishing an educational fund,20.12.2000,US
US40182520,Electronic program guides utilizing demographic stereotypes,19.06.2002,US
WO2017015183,PSYCHOSCOCIAL CONSTRUCTION SYSTEM,18.07.2016,WO
US395389885,METHOD AND SYSTEM FOR ADAPTIVE ASSET ALLOCATION AND FINANCIAL PLANNING,11.10.2022,US
WO2023064251,METHOD AND SYSTEM FOR ADAPTIVE ASSET ALLOCATION AND FINANCIAL PLANNING,11.10.2022,WO
IN309729751,CTAO - EDUCATIONAL MONITORING: IOT BASED EDUCATION MONITORING TO CHECKING THE CLASS TEACHER AVAILABLE IN A CLASS AND NOTES AVAILABLE ONLINE NOTIFIED.,30.09.2020,IN
US210412718,"SYSTEM, METHOD, AND COMPUTER PROGRAM PRODUCT FOR DETERMINING WHETHER TO PROMPT AN ACTION BY A PLATFORM IN CONNECTION WITH A MOBILE DEVICE",09.10.2013,US
IN346039058,An Economic Analysis on Turmeric Production and Marketing,03.12.2021,IN
CN309693100,Open-air showing stand for ideological and political education in colleges and universities,28.07.2020,CN
WO2022221116,SYSTEM AND METHOD FOR INTEGRATING AN ONLINE PLATFORM WITH COMPUTING SYSTEM INFRASTRUCTURES OF EDUCATIONAL INSTITUTIONS,07.04.2022,WO
US236456046,EXTENSIBLE INTELLIGENT FINANCIAL STRENGTH GUIDANCE SERVICE,19.07.2018,US
AU319555212,METHOD TO STUDY IMPACT OF ONLINE CLASSROOM PLATFORM LEARNING AND COLLABORATION AT TEACHER EDUCATION LEVEL,10.02.2021,AU
IN296580255,BLOCKCHAIN SYSTEMS AND METHODS FOR MANAGEMENT OF FINANCIAL TRANSACTION DATA IN THE EDUCATIONAL INSTITUTIONS,11.12.2018,IN
US73962944,Methods and systems for providing a targeted merchant funded rebate or rewards program,18.11.2011,US
US40206622,Managed access to information over data networks,21.12.2001,US
US41364909,Managed access to information over data networks,13.09.2002,US
WO2003026248,MANAGED ACCESS TO INFORMATION OVER DATA NETWORKS,13.09.2002,WO
EP14142861,GESTEUERTER ZUGRIFF AUF INFORMATIONEN ÜBER DATENNETZE,13.09.2002,EP
CN346652046,Auxiliary education device based on overseas college education,30.06.2021,CN
US73863523,Methods and systems for providing a merchant funded rebate or rewards program,23.02.2011,US
US95638935,Methods and systems for providing a merchant funded incentive rebate or awards program,02.04.2012,US
US97267999,System for Providing Conditional User Awards,17.06.2013,US
WO2022221118,SYSTEM AND METHOD FOR INTEGRATING AN ONLINE PLATFORM WITH COMPUTING SYSTEM INFRASTRUCTURES OF EDUCATIONAL INSTITUTIONS,07.04.2022,WO
