patent_id,keyword
WO2004029753,training systems
WO2004029753,training systems methods
WO2004029753,training
CA94137916,electronic training systems
CA94137916,electronic training
CA94137916,training systems
CA94137916,training systems methods
CA94137916,training
IN414830801,face recognition attendance
IN414830801,recognition attendance classroom
IN414830801,attendance classroom using
IN414830801,recognition attendance
IN414830801,attendance classroom
US421437137,state circuit breaker
US421437137,breaker turns electronics
US421437137,circuit breaker turns
US421437137,circuit breaker
US421437137,solid state circuit
IN391899050,ict building teachers
IN391899050,ict building
IN391899050,ict
IN391899050,building teachers
IN391899050,teachers
US421437144,electron emitting cathode
US421437144,conical heat shield
US421437144,heat shield electron
US421437144,emitting cathode
US421437144,shield electron emitting
US391537079,curriculum educational game
US391537079,teaching curriculum educational
US391537079,curriculum educational
US391537079,teaching curriculum
US391537079,educational game
US283327053,curriculum educational game
US283327053,teaching curriculum educational
US283327053,curriculum educational
US283327053,teaching curriculum
US283327053,educational game
US295681646,electronic textbook implementations
US295681646,interfaces electronic textbook
US295681646,electronic textbook
US295681646,interactive user interfaces
US295681646,user interfaces electronic
US321201938,electronic textbook implementations
US321201938,interfaces electronic textbook
US321201938,electronic textbook
US321201938,interactive user interfaces
US321201938,user interfaces electronic
US399577850,electronic textbook implementations
US399577850,interfaces electronic textbook
US399577850,electronic textbook
US399577850,interactive user interfaces
US399577850,user interfaces electronic
WO2001001277,queries information exchange
WO2001001277,coordinating search queries
WO2001001277,search queries
WO2001001277,search queries information
WO2001001277,conducting coordinating search
US41041865,expert driven assessments
US41041865,standardizing expert driven
US41041865,standardizing expert
US41041865,products standardizing expert
US41041865,driven assessments
IN275759404,educational wi fi
IN275759404,network educational wi
IN275759404,mobile ad hoc
IN275759404,hoc network educational
IN275759404,ad hoc network
BR429133171,método aparelho
BR429133171,aparelho
BR429133171,método
CN311333569,remote education multimedia
CN311333569,english remote education
CN311333569,remote education
CN311333569,multimedia teaching training
CN311333569,education multimedia teaching
WO2002037448,distance learning
WO2002037448,learning
WO2002037448,distance
IN300871669,intelligence ecological sensitivity
IN300871669,conceptualization ecological intelligence
IN300871669,ecological intelligence ecological
IN300871669,ecological intelligence
IN300871669,intelligence ecological
IN275758991,glove hepatic feedback
IN275758991,smart glove hepatic
IN275758991,glove hepatic
IN275758991,hepatic feedback visually
IN275758991,feedback visually impaired
IN394087214,communicative competence industry
IN394087214,developing communicative competence
IN394087214,communicative competence
IN394087214,developing communicative
IN394087214,competence industry era
IN371142250,online classroom platform
IN371142250,platform learning collaboration
IN371142250,classroom platform learning
IN371142250,impact online classroom
IN371142250,online classroom
WO2024173630,youth career development
WO2024173630,income generation financial
WO2024173630,readiness income generation
WO2024173630,income generation
WO2024173630,methods youth career
WO2018044230,robotic training apparatus
WO2018044230,training apparatus
WO2018044230,robotic training
WO2018044230,training
WO2018044230,robotic
CN437814226,用于测量矿山设备的圆锥滚子轴承
US42763408,personalized computer animation
US42763408,animation using game
US42763408,computer animation using
US42763408,computer animation
US42763408,game play data
WO2008100427,personalized computer animation
WO2008100427,animation using game
WO2008100427,computer animation using
WO2008100427,computer animation
WO2008100427,game play data
US73230349,progressive synthetic phonics
US73230349,synthetic phonics
US73230349,progressive synthetic
US73230349,phonics
US73230349,synthetic
US437764512,avocado cutting pitting
US437764512,avocado cutting
US437764512,cutting pitting process
US437764512,cutting pitting
US437764512,multi lane machine
IN346043399,game based psychotherapeutic
IN346043399,based psychotherapeutic therapy
IN346043399,psychotherapeutic therapy
IN346043399,traumatic stress disorder
IN346043399,based psychotherapeutic
IN389952063,smart educational systems
IN389952063,iot technology create
IN389952063,create smart educational
IN389952063,iot technology
IN389952063,process iot technology
PL429136493,degradation state battery
PL429136493,determining degradation state
PL429136493,method determining degradation
PL429136493,determining degradation
PL429136493,degradation state
CN349246330,portable recording device
CN349246330,portable recording
CN349246330,recording device college
CN349246330,recording device
CN349246330,device college education
US160003610,user device data
US160003610,attribute online user
US160003610,determining attribute online
US160003610,using user device
US160003610,user device
US38067386,diagram retrieval image
US38067386,gesture modified diagram
US38067386,modified diagram retrieval
US38067386,diagram retrieval
US38067386,retrieval image resembling
US352839531,testing device combiner
US352839531,device combiner
US352839531,secure testing device
US352839531,combiner
US352839531,secure testing
US40729719,content purchasing searching
US40729719,interaction content purchasing
US40729719,purchasing searching
US40729719,content purchasing
US40729719,interaction content
US41052305,content purchasing searching
US41052305,interaction content purchasing
US41052305,purchasing searching
US41052305,content purchasing
US41052305,interaction content
US73287225,content purchasing searching
US73287225,interaction content purchasing
US73287225,purchasing searching
US73287225,content purchasing
US73287225,interaction content
CN324160436,online education service
CN324160436,education service platform
CN324160436,online education
CN324160436,platform instant calling
CN324160436,instant calling
US293245627,testing device combiner
US293245627,device combiner
US293245627,secure testing device
US293245627,combiner
US293245627,secure testing
US306627149,liquid crystal shutter
US306627149,crystal shutter
US306627149,device liquid crystal
US306627149,secure testing device
US306627149,testing device liquid
US430566275,securing testing device
US430566275,securing testing
US430566275,method securing testing
US430566275,testing device
US430566275,method securing
US432029395,device reflective optical
US432029395,testing device reflective
US432029395,secure testing device
US432029395,device reflective
US432029395,reflective optical element
US276153649,adjust communications
US276153649,arrangements adjust communications
US276153649,communications
US276153649,methods arrangements adjust
US276153649,arrangements adjust
US276463433,adjust communications
US276463433,arrangements adjust communications
US276463433,communications
US276463433,methods arrangements adjust
US276463433,arrangements adjust
US279746116,secure testing device
US279746116,secure testing
US279746116,testing device
US279746116,testing
US279746116,secure
US421436959,clocking architecture supporting
US421436959,clocking architecture
US421436959,rates reference edge
US421436959,data rates reference
US421436959,multiple data rates
US304656725,adjust communications
US304656725,arrangements adjust communications
US304656725,communications
US304656725,methods arrangements adjust
US304656725,arrangements adjust
US380905152,adjust communications
US380905152,arrangements adjust communications
US380905152,communications
US380905152,methods arrangements adjust
US380905152,arrangements adjust
US415367028,adjust communications
US415367028,arrangements adjust communications
US415367028,communications
US415367028,methods arrangements adjust
US415367028,arrangements adjust
US154607644,secure testing method
US154607644,secure testing
US154607644,testing method
US154607644,testing
US154607644,secure
US201065090,secure testing device
US201065090,secure testing
US201065090,testing device method
US201065090,testing device
US201065090,testing
US225266714,secure testing device
US225266714,secure testing
US225266714,testing device method
US225266714,testing device
US225266714,testing
IN414852816,education digital portfolios
IN414852816,secondary education digital
IN414852816,education digital
IN414852816,digital portfolios strengthen
IN414852816,digital portfolios
CN251549940,image acquisition auxiliary
CN251549940,image acquisition
CN251549940,ar 3d technology
CN251549940,based image acquisition
CN251549940,ar 3d
WO2019008597,generic expertise network
WO2019008597,expertise network individual
WO2019008597,expertise network
WO2019008597,generic expertise
WO2019008597,users syndicates genius
IN211819915,generic expertise network
IN211819915,expertise network individual
IN211819915,expertise network
IN211819915,generic expertise
IN211819915,users syndicates genius
WO2020032965,curriculum educational game
WO2020032965,teaching curriculum educational
WO2020032965,curriculum educational
WO2020032965,teaching curriculum
WO2020032965,educational game
CA108098451,item generation aig
CA108098451,automatic item generation
CA108098451,aig manufacturing process
CA108098451,generation aig manufacturing
CA108098451,aig manufacturing
WO2016028864,secure testing device
WO2016028864,secure testing
WO2016028864,testing device method
WO2016028864,testing device
WO2016028864,testing
CN399739877,education big data
CN399739877,big data statistical
CN399739877,based knowledge graph
CN399739877,college education big
CN399739877,knowledge graph
CN437814177,一种高效率五金精密配件加工用折弯装置
US123290861,remote laboratory course
US123290861,online course sections
US123290861,laboratory course sections
US123290861,sections online course
US123290861,course sections online
US234732615,secure testing device
US234732615,secure testing
US234732615,testing device
US234732615,testing
US234732615,secure
WO2019183080,secure testing device
WO2019183080,secure testing
WO2019183080,testing device
WO2019183080,testing
WO2019183080,secure
IN325273136,education online automation
IN325273136,automation using cloud
IN325273136,education online
IN325273136,online automation using
IN325273136,online automation
US173932265,identities social networking
US173932265,user identities social
US173932265,subsets user identities
US173932265,user identities
US173932265,comparing subsets user
KR446836167,무인 관리 시스템
KR446836167,영농형 태양광 모듈
KR446836167,관리 시스템
KR446836167,영농형 태양광
KR446836167,영농형
IN211507689,edudesire educational sms
IN211507689,educational sms service
IN211507689,educational sms
IN211507689,sms service
IN211507689,sms
AU320796031,blended teaching learning
AU320796031,blended teaching
AU320796031,school children epidemic
AU320796031,learning management platform
AU320796031,children epidemic
IN414855824,concept surface area
IN414855824,surface area
IN414855824,mathematical concept surface
IN414855824,teach mathematical concept
IN414855824,concept surface
US160499513,sale proceeds college
US160499513,presenting items sale
US160499513,education saving account
US160499513,proceeds college education
US160499513,proceeds college
CN369008737,big data epidemic
CN369008737,data epidemic prevention
CN369008737,campus landscape swing
CN369008737,campus landscape
CN369008737,data epidemic
IN346042906,streetlights monitoring using
IN346042906,streetlights monitoring
IN346042906,machine learning iot
IN346042906,streetlights
IN346042906,learning iot based
US437764554,article conveyance processing
US437764554,conveyance processing
US437764554,article conveyance
US437764554,conveyance
US437764554,processing
IN334769785,device physical activity
IN334769785,award device physical
IN334769785,award device
IN334769785,physical activity goal
IN334769785,electronically enabled award
US437764605,resin multilayer foam
US437764605,polyethylene resin multilayer
US437764605,manufacturing polyethylene resin
US437764605,multilayer foam sheet
US437764605,foam sheet interleaving
CN282412732,network education training
CN282412732,education training device
CN282412732,network education
CN282412732,training device
CN282412732,education training
US397846732,screen interface mobile
US397846732,interface mobile device
US397846732,screen interface
US397846732,mobile device apparatus
US397846732,interface mobile
IN342291400,iot kit
IN342291400,iot kit track
IN342291400,iot
IN342291400,track notify doctor
IN342291400,nurse medical equipment
US82300147,improved financial calculators
US82300147,financial calculators
US82300147,calculators
US82300147,methods improved financial
US82300147,improved financial
US43265904,fine motor execution
US43265904,repetitive force feedback
US43265904,motor execution
US43265904,motor execution using
US43265904,using repetitive force
US317632984,media platform server
US317632984,user media platform
US317632984,media platform
US317632984,platform server
US317632984,user media
WO2021030288,media platform server
WO2021030288,user media platform
WO2021030288,media platform
WO2021030288,platform server
WO2021030288,user media
US38570098,play teaching dna
US38570098,teaching dna
US38570098,teaching dna related
US38570098,dna related technologies
US38570098,dna
IN346041881,agriculture water level
IN346041881,agriculture water
IN346041881,iot based technology
IN346041881,water level controlling
IN346041881,controlling using iot
WO2006076266,money management education
WO2006076266,money management
WO2006076266,management education apparatus
WO2006076266,education apparatus method
WO2006076266,education apparatus
US295247339,data storage method
US295247339,data storage
US295247339,storage method
US295247339,storage method apparatus
US295247339,apparatus storage medium
US41572851,money management education
US41572851,money management
US41572851,management education apparatus
US41572851,education apparatus method
US41572851,education apparatus
EP293254177,datenspeicherverfahren und vorrichtung
EP293254177,datenspeicherverfahren und
EP293254177,vorrichtung sowie speichermedium
EP293254177,datenspeicherverfahren
EP293254177,sowie speichermedium
CN446855045,一种设置有过载保护结构的高安全性阀门
US437764602,molding method die
US437764602,molding method
US437764602,molding
US437764602,method die
US437764602,method
US394062032,based test generator
US394062032,ai based test
US394062032,test generator
US394062032,test generator test
US394062032,generator test training
US377257960,distributed ledger
US377257960,distributed ledger blockchain
US377257960,ledger blockchain
US377257960,ledger blockchain technology
US377257960,ledger
US439560517,offline hybrid education
US439560517,hybrid education method
US439560517,online offline hybrid
US439560517,offline hybrid
US439560517,education method electronic
EP425892405,hybrides online und
EP425892405,hybrides online
EP425892405,online und offline
EP425892405,elektronische vorrichtung und
EP425892405,und elektronische vorrichtung
US437770792,medical device communication
US437770792,digital communication module
US437770792,communication module
US437770792,communication module self
US437770792,medical device
CN306884004,assignment teaching material
CN306884004,course assignment teaching
CN306884004,teaching material selecting
CN306884004,assignment teaching
CN306884004,teaching material
IN211787490,extract casearia esculenta
IN211787490,root extract casearia
IN211787490,constituent root extract
IN211787490,root extract
IN211787490,constituent treatment diabetes
CN446868997,超薄柔性锂电池及其制备方法
US437764470,screw fastening jig
US437764470,tapping screw fastening
US437764470,fastening jig fastening
US437764470,jig fastening method
US437764470,fastening jig
CN355495220,data arrangement equipment
CN355495220,arrangement equipment college
CN355495220,data arrangement
CN355495220,college education management
CN355495220,equipment college education
CN254061735,indoor fitness equipment
CN254061735,physical education indoor
CN254061735,education indoor fitness
CN254061735,indoor fitness
CN254061735,fitness equipment
BR429132211,composto antitumoral
BR429132211,composto antitumoral sua
BR429132211,antitumoral sua aplicação
BR429132211,antitumoral
BR429132211,composto
WO2008005324,educational institution selection
WO2008005324,institution selection method
WO2008005324,institution selection
WO2008005324,educational institution
WO2008005324,institution
IN375640300,innovation entrepreneurship course
IN375640300,entrepreneurship course
IN375640300,introductory innovation entrepreneurship
IN375640300,education introductory innovation
IN375640300,innovation entrepreneurship
IN398495821,method enhanced learning
IN398495821,learning method enhanced
IN398495821,enhanced learning
IN398495821,learning method
IN398495821,method enhanced
IN373405300,online classroom platform
IN373405300,platform learning collaboration
IN373405300,classroom platform learning
IN373405300,impact online classroom
IN373405300,online classroom
IN346041382,composites filtration water
IN346041382,reinforced composites filtration
IN346041382,composites filtration
IN346041382,fiber reinforced composites
IN346041382,natural fiber reinforced
US296012835,remotely providing instructional
US296012835,method remotely providing
US296012835,apparatus method remotely
US296012835,remotely providing
US296012835,providing instructional educational
CN355522403,ink grinding device
CN355522403,ink grinding
CN355522403,grinding device college
CN355522403,grinding device
CN355522403,college chinese education
IN329752947,pen based iot
IN329752947,secure online examination
IN329752947,smart pen based
IN329752947,smart pen
IN329752947,online examination
US428309161,career aspiration based
US428309161,career aspiration
US428309161,aspiration based educational
US428309161,career
US428309161,based educational
EP425892427,pflegeeraspirationsbasiertes ausbildungsverfahren und
EP425892427,pflegeeraspirationsbasiertes ausbildungsverfahren
EP425892427,pflegeeraspirationsbasiertes
EP425892427,ausbildungsverfahren und
EP425892427,ausbildungsverfahren
US340282791,adaptive personalized recommendations
US340282791,personalized recommendations
US340282791,adaptive personalized
US340282791,delivery adaptive personalized
US340282791,personalized
US73477476,web application instrumentation
US73477476,reliable cross session
US73477476,cross session web
US73477476,application instrumentation
US73477476,session web application
US154871867,remotely providing instructional
US154871867,method remotely providing
US154871867,apparatus method remotely
US154871867,remotely providing
US154871867,providing instructional educational
US222846574,remotely providing instructional
US222846574,method remotely providing
US222846574,apparatus method remotely
US222846574,remotely providing
US222846574,providing instructional educational
CN368048354,german education propaganda
CN368048354,campus german education
CN368048354,college campus german
CN368048354,campus german
CN368048354,german education
US130905838,interfacing students portfolios
US130905838,students portfolios
US130905838,portfolios
US130905838,method interfacing students
US130905838,interfacing students
AU311607737,education monitoring iot
AU311607737,ctao education monitoring
AU311607737,education monitoring
AU311607737,education monitoring checking
AU311607737,based education monitoring
US43153055,rebates higher education
US43153055,systems applying rebates
US43153055,applying rebates
US43153055,applying rebates higher
US43153055,rebates
US437764546,workpiece dimensional sanding
US437764546,processing regions workpiece
US437764546,dimensional sanding
US437764546,regions workpiece dimensional
US437764546,autonomous processing regions
US364378139,adaptive personalized recommendations
US364378139,personalized recommendations
US364378139,adaptive personalized
US364378139,delivery adaptive personalized
US364378139,personalized
US43666488,providing rebate program
US43666488,systems providing rebate
US43666488,rebate program
US43666488,providing rebate
US43666488,rebate
IN338707519,artificial intelligence blockchain
IN338707519,intelligence blockchain technology
IN338707519,intelligence blockchain
IN338707519,blockchain technology
IN338707519,blockchain
CA419436612,communications node upgrade
CA419436612,communications node
CA419436612,node upgrade selection
CA419436612,node upgrade
CA419436612,methods communications node
CA337213153,communications node upgrade
CA337213153,communications node
CA337213153,node upgrade selection
CA337213153,node upgrade
CA337213153,methods communications node
CA417424336,communications node upgrade
CA417424336,communications node
CA417424336,node upgrade selection
CA417424336,node upgrade
CA417424336,methods communications node
WO2020172316,communications node upgrade
WO2020172316,communications node
WO2020172316,node upgrade selection
WO2020172316,node upgrade
WO2020172316,methods communications node
EP376440220,auswahl von kommunikationsknoten
EP376440220,von kommunikationsknoten
EP376440220,kommunikationsknoten
EP376440220,systeme und verfahren
EP376440220,systeme und
US357954474,communications node upgrade
US357954474,communications node
US357954474,node upgrade selection
US357954474,node upgrade
US357954474,methods communications node
US302857784,communications node upgrade
US302857784,communications node
US302857784,node upgrade selection
US302857784,node upgrade
US302857784,methods communications node
US391541216,communications node upgrade
US391541216,communications node
US391541216,node upgrade selection
US391541216,node upgrade
US391541216,methods communications node
CA337213179,communications node upgrade
CA337213179,communications node
CA337213179,node upgrade selection
CA337213179,node upgrade
CA337213179,methods communications node
US302857263,communications node upgrade
US302857263,communications node
US302857263,node upgrade selection
US302857263,node upgrade
US302857263,methods communications node
US429380068,communications node upgrade
US429380068,communications node
US429380068,node upgrade selection
US429380068,node upgrade
US429380068,methods communications node
WO2020172325,communications node upgrade
WO2020172325,communications node
WO2020172325,node upgrade selection
WO2020172325,node upgrade
WO2020172325,methods communications node
US302857659,communications node upgrade
US302857659,communications node
US302857659,node upgrade selection
US302857659,node upgrade
US302857659,methods communications node
US357954473,communications node upgrade
US357954473,communications node
US357954473,node upgrade selection
US357954473,node upgrade
US357954473,methods communications node
US412501783,communications node upgrade
US412501783,communications node
US412501783,node upgrade selection
US412501783,node upgrade
US412501783,methods communications node
US445576898,communications node upgrade
US445576898,communications node
US445576898,node upgrade selection
US445576898,node upgrade
US445576898,methods communications node
US412501782,communications node upgrade
US412501782,communications node
US412501782,node upgrade selection
US412501782,node upgrade
US412501782,methods communications node
AU311202084,imrm class monitoring
AU311202084,class monitoring iot
AU311202084,imrm class
AU311202084,class monitoring faculty
AU311202084,class monitoring
EP318029871,automatisierten modulbasierten inhaltsbereitstellung
EP318029871,zur automatisierten modulbasierten
EP318029871,automatisierten modulbasierten
EP318029871,verfahren zur automatisierten
EP318029871,zur automatisierten
IN346042392,lightweight sandwich bricks
IN346042392,sandwich bricks using
IN346042392,manufacturing lightweight sandwich
IN346042392,bamboo fiber waste
IN346042392,sandwich bricks
US406093915,shared utility accessibility
US406093915,utility accessibility
US406093915,accessibility
US406093915,shared utility
US406093915,methods shared utility
US279742176,activity based fundraising
US279742176,fundraising
US279742176,based fundraising
US279742176,activity based
US279742176,activity
CA159958328,activity based fundraising
CA159958328,fundraising
CA159958328,based fundraising
CA159958328,activity based
CA159958328,activity
WO2014201467,activity based fundraising
WO2014201467,fundraising
WO2014201467,based fundraising
WO2014201467,activity based
WO2014201467,activity
US128465373,activity based fundraising
US128465373,fundraising
US128465373,based fundraising
US128465373,activity based
US128465373,activity
KR446839600,플루오로에테르의 제조 방법
KR446839600,플루오로에테르의 제조
KR446839600,플루오로에테르의
KR446839600,제조 방법
KR446839600,방법
US448392366,accreditation industrial professionals
US448392366,accreditation industrial
US448392366,artificial intelligence based
US448392366,method accreditation industrial
US448392366,ai based computing
IN414847322,iot driven distributed
IN414847322,medical image segmentation
IN414847322,distributed modeling block
IN414847322,based medical image
IN414847322,iot driven
US76694890,web based method
US76694890,method conducting business
US76694890,web based
US76694890,conducting business
US76694890,based method conducting
US43792591,balancing resources claims
US43792591,resources claims retirement
US43792591,claims retirement
US43792591,retirement
US43792591,method balancing resources
US95982051,balancing net savings
US95982051,claims retirement
US95982051,net savings
US95982051,resources claims retirement
US95982051,net savings resources
US41865062,portfolios risk budget
US41865062,simulation portfolios risk
US41865062,simulation portfolios
US41865062,risk budget analysis
US41865062,risk budget
US302857773,communications node upgrade
US302857773,communications node
US302857773,node upgrade selection
US302857773,node upgrade
US302857773,methods communications node
AU194407549,insurance products users
AU194407549,delivery insurance products
AU194407549,insurance products
AU194407549,support delivery insurance
AU194407549,delivery insurance
IN381055010,things iot platform
IN381055010,iot platform
IN381055010,things iot
IN381055010,iot
IN381055010,internet things iot
IN335044114,assessment tool english
IN335044114,self assessment tool
IN335044114,creating self assessment
IN335044114,self assessment
IN335044114,assessment tool
IN346043398,steganography using 32
IN346043398,domain image steganography
IN346043398,image steganography
IN346043398,image steganography using
IN346043398,steganography
IN342791419,concrete addition admixtures
IN342791419,durable concrete addition
IN342791419,strength durable concrete
IN342791419,durable concrete
IN342791419,concrete addition
KR446841910,제공하는 방법 시스템
KR446841910,약품구매인터페이스를 제공하는 방법
KR446841910,제공하는 방법
KR446841910,방법 시스템
KR446841910,기반하여 약품구매인터페이스를 제공하는
CN446858425,一种车辆安全控制方法 装置 车辆及存储介质
CN446858425,一种车辆安全控制方法 装置
CN446858425,一种车辆安全控制方法
CN446858425,车辆及存储介质
CN446858425,装置 车辆及存储介质
CA391582954,plurality admission applications
CA391582954,optimizing data sharing
CA391582954,admission applications
CA391582954,data sharing
CA391582954,data sharing relation
CN323794497,technician education based
CN323794497,technician education
CN323794497,education based internet
